ID,Nombre del negocio,Categoria,Grupo,Direccion,Barrio,Localidad,Ciudad,Distancia aprox. (km),Telefono,WhatsApp,Link WhatsApp,Correo electronico,Sitio web,Facebook,Instagram,LinkedIn,Horario de atencion,Calificacion Google,N Resenas,Propietario / Gerente,Persona de contacto,Presencia digital,Score Contacto,Servicios sugeridos,Observaciones comerciales,Prioridad,Fuente,place_id,lat,lon
GYX-E9EBC7469D,DEMO Odontologia Bosa 080,Odontologia,Salud,Calle 134 Sur #22-18,,Bosa,Bogota D.C.,13.69,+57 300 000 9036,+57 300 000 9036,https://wa.me/573000009036,,,,,,,,,DEMO Operador 16,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:way/1000080,4.585835,-74.198668
GYX-CFD21A9C42,DEMO Odontologia Bosa 120,Odontologia,Salud,Calle 149 Sur #34-23,,Bosa,Bogota D.C.,11.91,+57 300 000 7561,+57 300 000 7561,https://wa.me/573000007561,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:way/1000120,4.605143,-74.183005
GYX-E2E19441F1,DEMO Odontologia Bosa 260,Odontologia,Salud,Calle 110 Sur #16-62,,Bosa,Bogota D.C.,11.05,+57 300 000 5120,+57 300 000 5120,https://wa.me/573000005120,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:way/1000260,4.594471,-74.175455
GYX-15C5F26C15,DEMO Odontologia Bosa 280,Odontologia,Salud,Calle 59 Sur #75-48,,Bosa,Bogota D.C.,12.84,+57 300 000 2649,+57 300 000 2649,https://wa.me/573000002649,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000280,4.588053,-74.191182
GYX-94C3BD78FF,DEMO Odontologia Bosa 340,Odontologia,Salud,Calle 162 Sur #12-92,,Bosa,Bogota D.C.,11.99,+57 300 000 5708,+57 300 000 5708,https://wa.me/573000005708,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000340,4.616551,-74.182408
GYX-CC95E97B5F,DEMO Odontologia Bosa 380,Odontologia,Salud,Calle 120 Sur #88-89,,Bosa,Bogota D.C.,14.45,+57 300 000 2122,+57 300 000 2122,https://wa.me/573000002122,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:way/1000380,4.616386,-74.204842
GYX-7635946C6A,DEMO Papeleria Engativa 155,Papeleria,Comercio,Calle 30 Sur #81-56,,Engativa,Bogota D.C.,11.65,+57 300 000 4631,+57 300 000 4631,https://wa.me/573000004631,,,,,,,,,,,BAJA,100,Inventario | Dashboard BI | Catalogo digital | Pagina web | Automatizacion WhatsApp | Gestion de redes,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000155,4.692903,-74.120645
GYX-3C05FFD6FF,DEMO Papeleria Engativa 175,Papeleria,Comercio,Calle 84 Sur #63-44,,Engativa,Bogota D.C.,14.1,+57 300 000 4541,+57 300 000 4541,https://wa.me/573000004541,contacto@demo-papeleria-175.example.com,,,,,,,,,,BAJA,100,Inventario | Dashboard BI | Catalogo digital | Pagina web | Automatizacion WhatsApp | Gestion de redes,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000175,4.718083,-74.117042
GYX-1F9D762730,DEMO Papeleria Engativa 235,Papeleria,Comercio,Calle 125 Sur #41-32,,Engativa,Bogota D.C.,12.46,+57 300 000 5219,+57 300 000 5219,https://wa.me/573000005219,,,,,,Mo-Sa 08:00-18:00,,,DEMO Operador 15,,BAJA,100,Inventario | Dashboard BI | Catalogo digital | Pagina web | Automatizacion WhatsApp | Gestion de redes,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000235,4.708848,-74.093122
GYX-A9E18F55D7,DEMO Peluqueria Ciudad Bolivar 002,Peluqueria,Belleza,Calle 108 Sur #19-79,,Ciudad Bolivar,Bogota D.C.,13.18,+57 300 000 6054,+57 300 000 6054,https://wa.me/573000006054,,,,,,Mo-Sa 08:00-18:00,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo",ALTA,OpenStreetMap,osm:node/1000002,4.532267,-74.174673
GYX-E68398901B,DEMO Peluqueria Ciudad Bolivar 142,Peluqueria,Belleza,Calle 116 Sur #37-98,,Ciudad Bolivar,Bogota D.C.,10.4,+57 300 000 5309,+57 300 000 5309,https://wa.me/573000005309,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000142,4.534071,-74.144155
GYX-5A5538D240,DEMO Veterinaria Kennedy 061,Veterinaria,Salud,Calle 52 Sur #40-34,,Kennedy,Bogota D.C.,8.26,+57 300 000 4628,+57 300 000 4628,https://wa.me/573000004628,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000061,4.602697,-74.150172
GYX-B9389A32DB,DEMO Veterinaria Kennedy 381,Veterinaria,Salud,Calle 9 Sur #37-95,,Kennedy,Bogota D.C.,7.94,+57 300 000 2745,+57 300 000 2745,https://wa.me/573000002745,,,,,,,,,,,BAJA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); sin presencia digital, oportunidad alta para paquete completo; horario no publicado",ALTA,OpenStreetMap,osm:node/1000381,4.628635,-74.14056
GYX-65E69468AF,DEMO Abogados Ciudad Bolivar 032,Abogados,Servicios profesionales,Calle 115 Sur #65-96,,Ciudad Bolivar,Bogota D.C.,12.98,+57 300 000 6685,+57 300 000 6685,https://wa.me/573000006685,contacto@demo-abogados-32.example.com,,https://facebook.com/demoabogados32,,,,,,,,MEDIA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000032,4.531243,-74.171765
GYX-EF0EFB108C,DEMO Abogados Ciudad Bolivar 072,Abogados,Servicios profesionales,Calle 146 Sur #35-57,,Ciudad Bolivar,Bogota D.C.,11.9,+57 300 000 5265,+57 300 000 5265,https://wa.me/573000005265,,https://demo-abogados-72.example.com,,,,,,,,,MEDIA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000072,4.543635,-74.168249
GYX-A488B1C4D1,DEMO Abogados Ciudad Bolivar 112,Abogados,Servicios profesionales,Calle 61 Sur #42-34,,Ciudad Bolivar,Bogota D.C.,12.28,+57 300 000 2667,+57 300 000 2667,https://wa.me/573000002667,,https://demo-abogados-112.example.com,,,,Mo-Sa 08:00-18:00,,,,,MEDIA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta",ALTA,OpenStreetMap,osm:way/1000112,4.534116,-74.166055
GYX-3FD2BE886E,DEMO Barberia Tunjuelito 323,Barberia,Belleza,Calle 28 Sur #68-82,,Tunjuelito,Bogota D.C.,8.93,+57 300 000 7371,+57 300 000 7371,https://wa.me/573000007371,,https://demo-barberia-323.example.com,https://facebook.com/demobarberia323,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000323,4.582876,-74.154867
GYX-938FC730A4,DEMO Contaduria Kennedy 271,Contaduria,Servicios profesionales,Calle 139 Sur #33-49,,Kennedy,Bogota D.C.,8.72,+57 300 000 1853,+57 300 000 1853,https://wa.me/573000001853,,https://demo-contaduria-271.example.com,,,,,,,,,MEDIA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000271,4.615209,-74.152556
GYX-2A2A155832,DEMO Contaduria Kennedy 311,Contaduria,Servicios profesionales,Calle 55 Sur #44-97,,Kennedy,Bogota D.C.,10.13,+57 300 000 7769,+57 300 000 7769,https://wa.me/573000007769,,https://demo-contaduria-311.example.com,,https://instagram.com/democontaduria311,,,,,,,MEDIA,100,Landing page | CRM | Automatizacion de leads | Power BI | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000311,4.63709,-74.15845
GYX-E3AF3D9FF4,DEMO Drogueria Fontibon 074,Drogueria,Salud,Calle 76 Sur #30-25,,Fontibon,Bogota D.C.,14.22,+57 300 000 4181,+57 300 000 4181,https://wa.me/573000004181,,https://demo-celulares-319.example.com,https://facebook.com/democelulares319,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000074,4.686575,-74.168386
GYX-DBBF4CC974,DEMO Drogueria Fontibon 174,Drogueria,Salud,Calle 121 Sur #40-13,,Fontibon,Bogota D.C.,11.27,+57 300 000 4630,+57 300 000 4630,https://wa.me/573000004630,,https://demo-drogueria-174.example.com,,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000174,4.671921,-74.145488
GYX-A42715DAA7,DEMO Estetica Fontibon 044,Centro estetico,Belleza,Calle 126 Sur #38-76,,Fontibon,Bogota D.C.,11.33,+57 300 000 8633,+57 300 000 8633,https://wa.me/573000008633,,,,https://instagram.com/demoestetica44,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000044,4.653981,-74.161292
GYX-087518D782,DEMO Estetica Fontibon 064,Centro estetico,Belleza,Calle 114 Sur #22-23,,Fontibon,Bogota D.C.,11.28,+57 300 000 5584,+57 300 000 5584,https://wa.me/573000005584,,https://demo-estetica-64.example.com,,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000064,4.683565,-74.130601
GYX-AED0144DF8,DEMO Estetica Fontibon 204,Centro estetico,Belleza,Calle 33 Sur #63-34,,Fontibon,Bogota D.C.,11.21,+57 300 000 5279,+57 300 000 5279,https://wa.me/573000005279,,https://demo-estetica-204.example.com,,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000204,4.667134,-74.149525
GYX-18F7076EDE,DEMO Estetica Fontibon 324,Centro estetico,Belleza,Calle 99 Sur #21-65,,Fontibon,Bogota D.C.,13.23,+57 300 000 1210,+57 300 000 1210,https://wa.me/573000001210,contacto@demo-estetica-324.example.com,https://demo-estetica-324.example.com,,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000324,4.689222,-74.15253
GYX-E751CB15C6,DEMO Ferreteria Tunjuelito 113,Ferreteria,Comercio,Calle 28 Sur #82-23,,Tunjuelito,Bogota D.C.,9.06,+57 300 000 7362,+57 300 000 7362,https://wa.me/573000007362,,,,https://instagram.com/demoferreteria113,,Mo-Sa 08:00-18:00,,,,,MEDIA,100,Inventario | Dashboard BI | Catalogo digital | Pagina web | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta",ALTA,OpenStreetMap,osm:node/1000113,4.561896,-74.149047
GYX-74C5278D5D,DEMO Ferreteria Tunjuelito 213,Ferreteria,Comercio,Calle 177 Sur #30-30,,Tunjuelito,Bogota D.C.,9.39,+57 300 000 7576,+57 300 000 7576,https://wa.me/573000007576,,https://demo-ferreteria-213.example.com,,https://instagram.com/demoferreteria213,,,,,DEMO Operador 20,,MEDIA,100,Inventario | Dashboard BI | Catalogo digital | Automatizacion WhatsApp,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000213,4.573245,-74.156791
GYX-519DF14010,DEMO Gimnasio Engativa 085,Gimnasio,Bienestar,Calle 122 Sur #52-23,,Engativa,Bogota D.C.,12.96,+57 300 000 6874,+57 300 000 6874,https://wa.me/573000006874,,,,https://instagram.com/demogimnasio85,,Mo-Sa 08:00-18:00,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta",ALTA,OpenStreetMap,osm:node/1000085,4.712759,-74.096538
GYX-5CAD250572,DEMO Gimnasio Engativa 305,Gimnasio,Bienestar,Calle 93 Sur #89-33,,Engativa,Bogota D.C.,13.67,+57 300 000 8778,+57 300 000 8778,https://wa.me/573000008778,contacto@demo-gimnasio-305.example.com,https://demo-gimnasio-305.example.com,,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:node/1000305,4.718859,-74.098917
GYX-23D38999F2,DEMO Odontologia Bosa 300,Odontologia,Salud,Calle 97 Sur #67-96,,Bosa,Bogota D.C.,12.11,+57 300 000 9161,+57 300 000 9161,https://wa.me/573000009161,,,https://facebook.com/demoodontologia300,,,,,,,,MEDIA,100,Agenda online | CRM | Automatizacion de citas | Agente IA | Pagina web,"Contactar hoy por whatsapp (celular verificado en fuente publica); presencia digital parcial, ofrecer lo que le falta; horario no publicado",ALTA,OpenStreetMap,osm:way/1000300,4.606447,-74.184723
